year,month,rank,name,country,score
2001,1,1,王励勤,中国,2218
2001,1,2,孔令辉,中国,2119
2001,1,3,马琳,中国,2075
2001,1,4,蒋澎龙,中国台北,2058
2001,1,5,刘国正,中国,2053
2001,1,6,刘国梁,中国,2052
2001,1,7,萨姆索诺夫,白俄罗斯,2021
2001,1,8,施拉格,奥地利,1993
2001,1,9,普里莫拉茨,克罗地亚,1963
2001,1,10,金泽洙,韩国,1949
2001,2,1,王励勤,中国,2278
2001,2,2,孔令辉,中国,2120
2001,2,3,马琳,中国,2075
2001,2,4,萨姆索诺夫,白俄罗斯,2064
2001,2,5,普里莫拉茨,克罗地亚,2052
2001,2,6,刘国正,中国,2052
2001,2,7,刘国梁,中国,2052
2001,2,8,蒋澎龙,中国台北,2043
2001,2,9,金泽洙,韩国,2000
2001,2,10,施拉格,奥地利,1986
2001,3,1,王励勤,中国,2278
2001,3,2,孔令辉,中国,2120
2001,3,3,马琳,中国,2075
2001,3,4,蒋澎龙,中国台北,2053
2001,3,5,刘国正,中国,2052
2001,3,6,刘国梁,中国,2052
2001,3,7,普里莫拉茨,克罗地亚,2031
2001,3,8,萨姆索诺夫,白俄罗斯,2025
2001,3,9,金泽洙,韩国,2000
2001,3,10,施拉格,奥地利,1989
2001,4,1,王励勤,中国,2361
2001,4,2,孔令辉,中国,2180
2001,4,3,马琳,中国,2131
2001,4,4,刘国正,中国,2099
2001,4,5,蒋澎龙,中国台北,2099
2001,4,6,萨姆索诺夫,白俄罗斯,2070
2001,4,7,金泽洙,韩国,2044
2001,4,8,刘国梁,中国,2040
2001,4,9,普里莫拉茨,克罗地亚,2021
2001,4,10,施拉格,奥地利,1998
2001,5,1,王励勤,中国,2313
2001,5,2,孔令辉,中国,2156
2001,5,3,马琳,中国,2101
2001,5,4,刘国正,中国,2081
2001,5,5,蒋澎龙,中国台北,2081
2001,5,6,萨姆索诺夫,白俄罗斯,2070
2001,5,7,普里莫拉茨,克罗地亚,2021
2001,5,8,刘国梁,中国,2010
2001,5,9,金泽洙,韩国,2005
2001,5,10,施拉格,奥地利,1998
2001,6,1,王励勤,中国,2310
2001,6,2,孔令辉,中国,2108
2001,6,3,马琳,中国,2096
2001,6,4,刘国正,中国,2080
2001,6,5,蒋澎龙,中国台北,2059
2001,6,6,萨姆索诺夫,白俄罗斯,2040
2001,6,7,施拉格,奥地利,1999
2001,6,8,普里莫拉茨,克罗地亚,1997
2001,6,9,金泽洙,韩国,1974
2001,6,10,刘国梁,中国,1955
2001,7,1,王励勤,中国,2274
2001,7,2,刘国正,中国,2128
2001,7,3,孔令辉,中国,2090
2001,7,4,马琳,中国,2084
2001,7,5,蒋澎龙,中国台北,2033
2001,7,6,萨姆索诺夫,白俄罗斯,2022
2001,7,7,普里莫拉茨,克罗地亚,1988
2001,7,8,施拉格,奥地利,1974
2001,7,9,M-塞弗,比利时,1968
2001,7,10,金泽洙,韩国,1956
2001,8,1,王励勤,中国,2274
2001,8,2,刘国正,中国,2128
2001,8,3,孔令辉,中国,2090
2001,8,4,马琳,中国,2084
2001,8,5,蒋澎龙,中国台北,2033
2001,8,6,萨姆索诺夫,白俄罗斯,2022
2001,8,7,普里莫拉茨,克罗地亚,1988
2001,8,8,施拉格,奥地利,1974
2001,8,9,M-塞弗,比利时,1968
2001,8,10,金泽洙,韩国,1954
2001,9,1,王励勤,中国,2291
2001,9,2,刘国正,中国,2117
2001,9,3,马琳,中国,2076
2001,9,4,蒋澎龙,中国台北,2068
2001,9,5,孔令辉,中国,2062
2001,9,6,金泽洙,韩国,2031
2001,9,7,萨姆索诺夫,白俄罗斯,2017
2001,9,8,普里莫拉茨,克罗地亚,1985
2001,9,9,刘国梁,中国,1963
2001,9,10,施拉格,奥地利,1932
2001,10,1,王励勤,中国,2264
2001,10,2,刘国正,中国,2120
2001,10,3,萨姆索诺夫,白俄罗斯,2052
2001,10,4,蒋澎龙,中国台北,2049
2001,10,5,孔令辉,中国,2048
2001,10,6,马琳,中国,2039
2001,10,7,金泽洙,韩国,2000
2001,10,8,施拉格,奥地利,1988
2001,10,9,刘国梁,中国,1963
2001,10,10,普里莫拉茨,克罗地亚,1955
2001,11,1,王励勤,中国,2317
2001,11,2,萨姆索诺夫,白俄罗斯,2126
2001,11,3,马琳,中国,2092
2001,11,4,刘国正,中国,2049
2001,11,5,孔令辉,中国,2030
2001,11,6,蒋澎龙,中国台北,2026
2001,11,7,金泽洙,韩国,1985
2001,11,8,刘国梁,中国,1983
2001,11,9,瓦尔德内尔,瑞典,1976
2001,11,10,施拉格,奥地利,1965
2001,12,1,王励勤,中国,2317
2001,12,2,萨姆索诺夫,白俄罗斯,2121
2001,12,3,马琳,中国,2092
2001,12,4,刘国正,中国,2049
2001,12,5,孔令辉,中国,2030
2001,12,6,蒋澎龙,中国台北,2026
2001,12,7,金泽洙,韩国,1985
2001,12,8,刘国梁,中国,1983
2001,12,9,瓦尔德内尔,瑞典,1976
2001,12,10,施拉格,奥地利,1975
2002,1,1,王励勤,中国,2309
2002,1,2,马琳,中国,2159
2002,1,3,萨姆索诺夫,白俄罗斯,2108
2002,1,4,蒋澎龙,中国台北,2041
2002,1,5,瓦尔德内尔,瑞典,2030
2002,1,6,刘国正,中国,2012
2002,1,7,孔令辉,中国,2012
2002,1,8,施拉格,奥地利,1997
2002,1,9,金泽洙,韩国,1978
2002,1,10,波尔,德国,1970
2002,2,1,王励勤,中国,2273
2002,2,2,马琳,中国,2159
2002,2,3,萨姆索诺夫,白俄罗斯,2113
2002,2,4,蒋澎龙,中国台北,2032
2002,2,5,波尔,德国,2017
2002,2,6,孔令辉,中国,2012
2002,2,7,刘国正,中国,2012
2002,2,8,瓦尔德内尔,瑞典,2006
2002,2,9,施拉格,奥地利,1973
2002,2,10,刘国梁,中国,1968
2002,3,1,王励勤,中国,2288
2002,3,2,马琳,中国,2180
2002,3,3,萨姆索诺夫,白俄罗斯,2103
2002,3,4,M-塞弗,比利时,2063
2002,3,5,孔令辉,中国,2052
2002,3,6,波尔,德国,2050
2002,3,7,刘国正,中国,2003
2002,3,8,瓦尔德内尔,瑞典,2000
2002,3,9,蒋澎龙,中国台北,1983
2002,3,10,施拉格,奥地利,1979
2002,4,1,王励勤,中国,2288
2002,4,2,马琳,中国,2180
2002,4,3,萨姆索诺夫,白俄罗斯,2119
2002,4,4,波尔,德国,2119
2002,4,5,孔令辉,中国,2052
2002,4,6,M-塞弗,比利时,2049
2002,4,7,施拉格,奥地利,2017
2002,4,8,瓦尔德内尔,瑞典,2013
2002,4,9,刘国正,中国,2003
2002,4,10,蒋澎龙,中国台北,1983
2002,5,1,王励勤,中国,2252
2002,5,2,马琳,中国,2152
2002,5,3,波尔,德国,2111
2002,5,4,萨姆索诺夫,白俄罗斯,2107
2002,5,5,M-塞弗,比利时,2043
2002,5,6,孔令辉,中国,2032
2002,5,7,施拉格,奥地利,2007
2002,5,8,瓦尔德内尔,瑞典,2005
2002,5,9,刘国正,中国,1991
2002,5,10,蒋澎龙,中国台北,1951
2002,6,1,王励勤,中国,2264
